,model,type,var,importance
31,model_1_1,nested_full,cat32,65
32,model_1_1,nested_full,cat33,13
33,model_1_1,nested_full,cat34,13
34,model_1_1,nested_full,cat35,5
35,model_1_1,nested_full,cat36,342
36,model_1_1,nested_full,cat37,377
37,model_1_1,nested_full,cat38,418
38,model_1_1,nested_full,cat39,216
39,model_1_1,nested_full,cat40,95
40,model_1_1,nested_full,cat41,227
41,model_1_1,nested_full,cat42,108
42,model_1_1,nested_full,cat43,241
43,model_1_1,nested_full,cat44,410
44,model_1_1,nested_full,cat45,105
45,model_1_1,nested_full,cat46,25
46,model_1_1,nested_full,cat47,0
47,model_1_1,nested_full,cat48,6
48,model_1_1,nested_full,cat49,201
49,model_1_1,nested_full,cat50,281
50,model_1_1,nested_full,cat51,65
51,model_1_1,nested_full,cat52,175
52,model_1_1,nested_full,cat53,355
53,model_1_1,nested_full,cat54,147
54,model_1_1,nested_full,cat55,13
55,model_1_1,nested_full,cat56,13
56,model_1_1,nested_full,cat57,247
57,model_1_1,nested_full,cat58,1
58,model_1_1,nested_full,cat59,1
59,model_1_1,nested_full,cat60,54
60,model_1_1,nested_full,cat61,74
61,model_1_1,nested_full,cat62,0
62,model_1_1,nested_full,cat63,8
63,model_1_1,nested_full,cat64,0
64,model_1_1,nested_full,cat65,81
65,model_1_1,nested_full,cat66,80
66,model_1_1,nested_full,cat67,78
67,model_1_1,nested_full,cat68,8
68,model_1_1,nested_full,cat69,0
69,model_1_1,nested_full,cat70,0
70,model_1_1,nested_full,cat71,17
71,model_1_1,nested_full,cat72,546
72,model_1_1,nested_full,cat73,450
73,model_1_1,nested_full,cat74,75
74,model_1_1,nested_full,cat75,299
75,model_1_1,nested_full,cat76,250
76,model_1_1,nested_full,cat77,100
77,model_1_1,nested_full,cat78,72
78,model_1_1,nested_full,cat79,1175
79,model_1_1,nested_full,cat80,1099
80,model_1_1,nested_full,cat81,1324
81,model_1_1,nested_full,cat82,967
82,model_1_1,nested_full,cat83,907
83,model_1_1,nested_full,cat84,719
84,model_1_1,nested_full,cat85,115
85,model_1_1,nested_full,cat86,82
86,model_1_1,nested_full,cat87,1017
87,model_1_1,nested_full,cat88,34
88,model_1_1,nested_full,cat89,101
89,model_1_1,nested_full,cat90,244
90,model_1_1,nested_full,cat91,1382
91,model_1_1,nested_full,cat92,246
92,model_1_1,nested_full,cat93,514
93,model_1_1,nested_full,cat94,395
94,model_1_1,nested_full,cat95,134
95,model_1_1,nested_full,cat96,46
96,model_1_1,nested_full,cat97,453
97,model_1_1,nested_full,cat98,132
98,model_1_1,nested_full,cat99,1122
99,model_1_1,nested_full,cat100,7393
100,model_1_1,nested_full,cat101,5360
101,model_1_1,nested_full,cat102,306
102,model_1_1,nested_full,cat103,2137
103,model_1_1,nested_full,cat104,2244
104,model_1_1,nested_full,cat105,1623
105,model_1_1,nested_full,cat106,2943
106,model_1_1,nested_full,cat107,4171
107,model_1_1,nested_full,cat108,2307
108,model_1_1,nested_full,cat109,1330
109,model_1_1,nested_full,cat110,9033
110,model_1_1,nested_full,cat111,2021
111,model_1_1,nested_full,cat112,13691
112,model_1_1,nested_full,cat113,10543
113,model_1_1,nested_full,cat114,2916
114,model_1_1,nested_full,cat115,4368
115,model_1_1,nested_full,cat116,14592
116,model_1_1,nested_full,cont1,3335
117,model_1_1,nested_full,cont2,4047
118,model_1_1,nested_full,cont3,2973
119,model_1_1,nested_full,cont4,2454
120,model_1_1,nested_full,cont5,3333
121,model_1_1,nested_full,cont6,3845
122,model_1_1,nested_full,cont7,4831
123,model_1_1,nested_full,cont8,3528
124,model_1_1,nested_full,cont9,2610
125,model_1_1,nested_full,cont10,2679
126,model_1_1,nested_full,cont11,2776
127,model_1_1,nested_full,cont12,2727
128,model_1_1,nested_full,cont13,3490
129,model_1_1,nested_full,cont14,7528
0,model_1_2,nested_full,cat1,968
1,model_1_2,nested_full,cat2,924
2,model_1_2,nested_full,cat3,469
3,model_1_2,nested_full,cat4,1024
4,model_1_2,nested_full,cat5,895
5,model_1_2,nested_full,cat6,738
6,model_1_2,nested_full,cat7,507
7,model_1_2,nested_full,cat8,552
8,model_1_2,nested_full,cat9,1011
9,model_1_2,nested_full,cat10,762
10,model_1_2,nested_full,cat11,625
11,model_1_2,nested_full,cat12,775
12,model_1_2,nested_full,cat13,727
13,model_1_2,nested_full,cat14,134
14,model_1_2,nested_full,cat15,1
15,model_1_2,nested_full,cat16,333
16,model_1_2,nested_full,cat17,141
17,model_1_2,nested_full,cat18,87
18,model_1_2,nested_full,cat19,90
19,model_1_2,nested_full,cat20,13
20,model_1_2,nested_full,cat21,113
21,model_1_2,nested_full,cat22,19
22,model_1_2,nested_full,cat23,789
23,model_1_2,nested_full,cat24,309
24,model_1_2,nested_full,cat25,686
25,model_1_2,nested_full,cat26,536
26,model_1_2,nested_full,cat27,615
27,model_1_2,nested_full,cat28,392
28,model_1_2,nested_full,cat29,290
29,model_1_2,nested_full,cat30,215
30,model_1_2,nested_full,cat31,343
31,model_1_2,nested_full,cat32,113
32,model_1_2,nested_full,cat33,56
33,model_1_2,nested_full,cat34,36
34,model_1_2,nested_full,cat35,12
35,model_1_2,nested_full,cat36,990
36,model_1_2,nested_full,cat37,794
37,model_1_2,nested_full,cat38,881
38,model_1_2,nested_full,cat39,628
39,model_1_2,nested_full,cat40,659
40,model_1_2,nested_full,cat41,699
41,model_1_2,nested_full,cat42,160
42,model_1_2,nested_full,cat43,397
43,model_1_2,nested_full,cat44,710
44,model_1_2,nested_full,cat45,451
45,model_1_2,nested_full,cat46,81
46,model_1_2,nested_full,cat47,57
47,model_1_2,nested_full,cat48,18
48,model_1_2,nested_full,cat49,366
49,model_1_2,nested_full,cat50,674
50,model_1_2,nested_full,cat51,105
51,model_1_2,nested_full,cat52,363
52,model_1_2,nested_full,cat53,623
53,model_1_2,nested_full,cat54,262
54,model_1_2,nested_full,cat55,30
55,model_1_2,nested_full,cat56,10
56,model_1_2,nested_full,cat57,521
57,model_1_2,nested_full,cat58,11
58,model_1_2,nested_full,cat59,26
59,model_1_2,nested_full,cat60,88
60,model_1_2,nested_full,cat61,182
61,model_1_2,nested_full,cat62,0
62,model_1_2,nested_full,cat63,5
63,model_1_2,nested_full,cat64,0
64,model_1_2,nested_full,cat65,216
65,model_1_2,nested_full,cat66,392
66,model_1_2,nested_full,cat67,98
67,model_1_2,nested_full,cat68,22
68,model_1_2,nested_full,cat69,18
69,model_1_2,nested_full,cat70,0
70,model_1_2,nested_full,cat71,129
71,model_1_2,nested_full,cat72,1483
